list_date,ticker
2025-11-28,9431
2025-11-28,9466
2025-11-28,9571
2025-11-28,9598
2025-11-28,9601
2025-11-28,9628
2025-11-28,9679
2025-11-28,9687
2025-11-28,9695
2025-11-28,9717
2025-11-28,9741
2025-11-28,9776
2025-11-28,9792
2025-11-28,9814
2025-11-28,9822
2025-11-28,9873
2025-11-28,9881
2025-11-28,9946
2025-11-28,9954
2025-11-28,9962
2025-11-28,9997
